,material_id,band_gap,workfunction,cif
500,Br2O2Tl2-c3c952d61f44,1.0125131628853947,6.60508908747617,"# generated using pymatgen
data_TlBrO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24945884
_cell_length_b   3.82332322
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlBrO
_chemical_formula_sum   'Tl2 Br2 O2'
_cell_volume   346.74148823
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  1  0.50000000  -0.00000000  0.44937360  1
  Tl  Tl1  1  0.00000000  0.50000000  0.55062649  1
  O  O2  1  0.50000000  0.50000000  0.51483616  1
  O  O3  1  0.00000000  0.00000000  0.48516389  1
  Br  Br4  1  0.50000000  0.50000000  0.35486140  1
  Br  Br5  1  -0.00000000  -0.00000000  0.64513878  1
"
501,BrSSb-4ae37f15e1fe,1.4259397036099313,5.648376135165083,"# generated using pymatgen
data_SbSBr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.88103077
_cell_length_b   3.88103077
_cell_length_c   18.23248598
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SbSBr
_chemical_formula_sum   'Sb1 S1 Br1'
_cell_volume   237.83222123
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  -0.00000000  0.00000000  0.51195454  1
  S  S1  1  0.50000000  0.28867513  0.59440387  1
  Br  Br2  1  0.50000000  0.28867513  0.39845772  1
"
502,Br2Se2Sn2-0b5601e646e2,0.0,5.861796692538231,"# generated using pymatgen
data_SnSeBr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.63454672
_cell_length_b   4.03114615
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SnSeBr
_chemical_formula_sum   'Sn2 Se2 Br2'
_cell_volume   484.75097888
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.50000000  -0.00000000  0.44972404  1
  Sn  Sn1  1  -0.00000000  0.50000000  0.55027508  1
  Se  Se2  1  0.50000000  0.50000000  0.54544358  1
  Se  Se3  1  0.00000000  -0.00000000  0.45455607  1
  Br  Br4  1  0.50000000  0.50000000  0.35563944  1
  Br  Br5  1  -0.00000000  -0.00000000  0.64435996  1
"
503,ClCrI-ce902f0bf788,0.022095204824809533,4.9632011805358225,"# generated using pymatgen
data_CrICl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.75347240
_cell_length_b   3.75347240
_cell_length_c   18.23248598
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrICl
_chemical_formula_sum   'Cr1 I1 Cl1'
_cell_volume   222.45541038
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  -0.00000000  0.50986382  1
  Cl  Cl1  1  0.50000000  0.28867513  0.58890922  1
  I  I2  1  0.50000000  0.28867513  0.40607074  1
"
504,Cl2Ge2O2-53b7d4437da8,0.0,5.5559090296185385,"# generated using pymatgen
data_GeClO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.89387973
_cell_length_b   3.54647698
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeClO
_chemical_formula_sum   'Ge2 Cl2 O2'
_cell_volume   294.72083935
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.50000000  -0.00000000  0.45492340  1
  Ge  Ge1  1  0.00000000  0.50000000  0.54507446  1
  O  O2  1  0.50000000  0.50000000  0.52574742  1
  O  O3  1  -0.00000000  -0.00000000  0.47425352  1
  Cl  Cl4  1  0.50000000  0.50000000  0.37377317  1
  Cl  Cl5  1  0.00000000  -0.00000000  0.62622128  1
"
505,Cl2Hg2Se2-0a9fd6d34bda,0.0,5.986557367406843,"# generated using pymatgen
data_HgSeCl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.87987124
_cell_length_b   3.88299142
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HgSeCl
_chemical_formula_sum   'Hg2 Se2 Cl2'
_cell_volume   404.39517099
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  0.50000000  0.00000000  0.40437046  1
  Hg  Hg1  1  0.00000000  0.50000000  0.59562956  1
  Se  Se2  1  0.50000000  0.50000000  0.50016183  1
  Se  Se3  1  0.00000000  -0.00000000  0.49983824  1
  Cl  Cl4  1  0.50000000  0.50000000  0.32414783  1
  Cl  Cl5  1  -0.00000000  0.00000000  0.67585217  1
"
506,Cl2In2N2-b003cfbd6a4d,0.0,6.880747859892043,"# generated using pymatgen
data_InNCl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.01237300
_cell_length_b   3.56292091
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InNCl
_chemical_formula_sum   'In2 N2 Cl2'
_cell_volume   305.09749948
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.50000000  -0.00000000  0.44465715  1
  In  In1  1  -0.00000000  0.50000000  0.55534212  1
  N  N2  1  0.50000000  0.50000000  0.51081193  1
  N  N3  1  0.00000000  0.00000000  0.48918791  1
  Cl  Cl4  1  0.50000000  0.50000000  0.35790469  1
  Cl  Cl5  1  -0.00000000  -0.00000000  0.64209545  1
"
507,Cl2N2Nb2-b66adcb0d7f8,0.0,5.286638841869237,"# generated using pymatgen
data_NbNCl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.27408361
_cell_length_b   3.35852394
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbNCl
_chemical_formula_sum   'Nb2 N2 Cl2'
_cell_volume   306.35334700
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.50000000  0.00000000  0.47271768  1
  Nb  Nb1  1  -0.00000000  0.50000000  0.52728224  1
  N  N2  1  0.50000000  0.50000000  0.52764624  1
  N  N3  1  0.00000000  0.00000000  0.47235370  1
  Cl  Cl4  1  0.50000000  0.50000000  0.38201361  1
  Cl  Cl5  1  0.00000000  -0.00000000  0.61798635  1
"
508,Cl2N2Zr2-fb4c67eeb415,1.849094399054514,5.636478030040076,"# generated using pymatgen
data_ZrNCl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.13484005
_cell_length_b   3.53936387
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrNCl
_chemical_formula_sum   'Zr2 N2 Cl2'
_cell_volume   312.33100154
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.50000000  -0.00000000  0.45805509  1
  Zr  Zr1  1  0.00000000  0.50000000  0.54194486  1
  N  N2  1  0.50000000  0.50000000  0.51459919  1
  N  N3  1  -0.00000000  -0.00000000  0.48540088  1
  Cl  Cl4  1  0.50000000  0.50000000  0.36731481  1
  Cl  Cl5  1  0.00000000  0.00000000  0.63268516  1
"
509,Cl2O2Ta2-6c1aabde4738,0.0,4.827502925852489,"# generated using pymatgen
data_TaClO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.13354101
_cell_length_b   3.07733655
_cell_length_c   21.34180596
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TaClO
_chemical_formula_sum   'Ta2 Cl2 O2'
_cell_volume   271.47410636
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.50000000  0.00000000  0.46410046  1
  Ta  Ta1  1  -0.00000000  0.50000000  0.53589962  1
  O  O2  1  0.50000000  0.50000000  0.54119492  1
  O  O3  1  -0.00000000  0.00000000  0.45880511  1
  Cl  Cl4  1  0.50000000  0.50000000  0.37351457  1
  Cl  Cl5  1  0.00000000  -0.00000000  0.62648548  1
"
